Loss function,Noise (std),Train Loss,Val Loss,R^2,PSNR,Epoch,Test Loss
SmoothL1Loss,8,0.023375820583256896,0.026257520019743883,0.9422898888587952,25.592553186078444,23,,,
SmoothL1Loss,8,0.02291953051088243,0.027563627723419498,0.939240574836731,25.387475561588367,24,,,
SmoothL1Loss,8,0.022906454138947156,0.026635139037901205,0.9420664310455322,25.522069295247395,25,,,
SmoothL1Loss,8,0.02283734531483885,0.0276002838666029,0.9397010803222656,25.312528894302694,26,,,
SmoothL1Loss,8,0.02267044742564214,0.026548014709342878,0.9427329897880554,25.600723483038287,27,,,
SmoothL1Loss,8,0.022401125859419238,0.025907072780244317,0.9435921907424927,25.651710848436288,28,,,
SmoothL1Loss,8,0.022564775668753777,0.026072680527436817,0.9437611699104309,25.6430941372053,29,,,
SmoothL1Loss,8,0.02213731829211835,0.026124868878817306,0.9431980848312378,25.666545543264835,30,,,
SmoothL1Loss,8,,,,,Final,0.024411759406094326,0.9490611553192139,26.111255483242427
SmoothL1Loss,4,0.24837218068200526,0.20632669070722365,0.40700846910476685,16.885119035734352,1,,,
SmoothL1Loss,4,0.18279266912719838,0.1699367659893019,0.47251302003860474,17.548095395379033,2,,,
SmoothL1Loss,4,0.15045726034620494,0.14486546732538136,0.5253616571426392,17.866603330517492,3,,,
SmoothL1Loss,4,0.131673631495509,0.13498128194969597,0.5260581970214844,17.87278611271094,4,,,
SmoothL1Loss,4,0.12259009305697344,0.12306125430350608,0.5290884971618652,17.94354729280404,5,,,
SmoothL1Loss,4,0.11518206619145724,0.1162608581601728,0.5162946581840515,17.9643552556951,6,,,
SmoothL1Loss,4,0.11032164367490097,0.1138901061358604,0.5187572240829468,17.912336237887118,7,,,
SmoothL1Loss,4,0.10528617850617174,0.10638625919818878,0.7790625095367432,19.244197716949678,8,,,
SmoothL1Loss,4,0.09778805690300689,0.10829563127130482,0.7745457291603088,19.13080363577985,9,,,
SmoothL1Loss,4,0.09511146025267747,0.10691841335055675,0.7774584889411926,19.306046803792317,10,,,
SmoothL1Loss,4,0.09424693675726732,0.09723192720231436,0.7978547811508179,19.517123269696608,11,,,
SmoothL1Loss,4,0.09309875566622207,0.09765679463215754,0.797121524810791,19.492049670388514,12,,,
SmoothL1Loss,4,0.09254222784201357,0.09708642822208134,0.797745406627655,19.51066259965829,13,,,
SmoothL1Loss,4,0.09167337655302027,0.09817411766407337,0.7954661250114441,19.466009038559935,14,,,
SmoothL1Loss,4,0.09157855630959646,0.09739859161753181,0.7973325848579407,19.50194646957073,15,,,
SmoothL1Loss,4,0.09067878870658037,0.09716632661033184,0.7977998852729797,19.508893053582373,16,,,
SmoothL1Loss,4,0.08993969519120758,0.0969807301641356,0.7981268167495728,19.52321097191344,17,,,
SmoothL1Loss,4,0.09017377281336778,0.09893285789599655,0.7943084239959717,19.45718142326842,18,,,
SmoothL1Loss,4,0.08955667031074976,0.09819070236585664,0.7962182760238647,19.48985640884291,19,,,
SmoothL1Loss,4,0.08890535116155729,0.09573392998030845,0.8006676435470581,19.56964419750457,20,,,
SmoothL1Loss,4,0.08877076492232867,0.09900082420584158,0.7935147285461426,19.440928398294652,21,,,
SmoothL1Loss,4,0.08829899825375458,0.09666544674558843,0.7986663579940796,19.534989214958028,22,,,
SmoothL1Loss,4,0.08822688626639805,0.09597005737377397,0.799570620059967,19.55264702925445,23,,,
